User,Followers,nFs,All_Followers,nF
engtom,wagnerpaxs,1,"wagnerpaxs,lenilsonjr,allancarlos123,lcassiol",4
estevaocm,thiagoarrais,1,"Perruci,thiagoarrais,LF76,tuberculo,gerardbosch,l00pz123,marknemesis",7
sjcostaneto,ramonsantos,1,"AmandaOlb,EdypoSilva,ramonsantos,raiarruda,FlviioG,mstraughan86,jrafaelsantana,italopessoa,joaoantoniocn",9
frog789,Masterfoni,1,"MarciaRenata,guilherme,rdnascimento,klebson09,Masterfoni,Danilopsilva",5
IsmaelGomes,marconemm,1,"rafafreitas,marconemm,laisvidoto1994,matheuscoelho7,LeandroOliveirADS",5
matequeiroz,ianlucas,1,"jaimenn,thigorqueiroz,andrelucasti,ianlucas,RamonVicente",5
jamissonfreitas,geocarvalho,1,"jorgegean,MichalPaszkiewicz,geocarvalho,ItzLevvie,leonardovaleriano,ping,link,AdiChat,rftHusn,shenzhoudance",9
pablostellet,alexjosesilva,1,"gandrade,twrecife,brunohgv,alexjosesilva,PriCampos,imranosmanzai",5
jefferson-lima,ramonsantos,1,"ramonsantos,paulinhoosfaya,adamesd1,ddefb,dalinhuang99,joaoantoniocn",6
diegocarloslima,henriquemenezes,1,"mihira,paulosouzacbcc,alaattinturyan,KreoSoft,IgorMaxSiq,0359xiaodong,asgarddesigns,nimarley,boygaggoo,feiyu1001,juniorJaffa,wuyexiong,pranavlathigara,hrules6872,ansonlian,treejames,mateusgrb,zhengangyang,WasimMemon,llpj,MayurDev,team1420,henriquemenezes,ezefranca,ThomasGreiner,willkernel,thelou1s,mohanrajsambath,Baneeishaque,xingjiyihao,mpruthvikumar,OsamaDroidEgypt,argisht992,bolaram,maherzaidoune,jiangxi120,mohamedHassanKa,zhuixunshangfei,jzm1994,fhd,marciobueno1,mrachelb,tigefa4u,emreturh,ruizuo007",45
mariojor,simoneas02,1,"Paulo,Sergio,simoneas02,veridianaMelo,charlenopires,douglasffilho",5
lmmenge,lmarinho,1,"lmarinho,AndreasVerhoeven,finngaida,alexhulbert,nitinthewiz,lpstylero,gourgy,sillyyy,valentebruno,ludyroad,mysterfou41,pantoine13,Damien3,loretoparisi,takeno77,ZatoR,ek,fabio,jreis,podrivo,semeon98,xavikick,willmapp,KevinLaRosa,tisunov,NoCommentOkay,andrespch,net32,vancaem,erkekin,JesusAntonioGil,Gagan5278,junichikawanishi,pmkhoa,horngep,blankenburgh,jbobrow,mrmign,design,today,Yunakia,hollywood68,Yue,Han,farnazkhodadadi,iworkcloud,Tyello,kvnbautista,ukiukiyuki,TETRA2000,Mustafa,Kamal,dimax13,DJHartley,Piyush08,luizParreira,billhibazzz,codemonkey85,phase,GAMEBOY89,angusshire,robbertkl,jemah2512,nunoarruda,dunyakirkali,peteralbertson,own2pwn,Lojii,mbernson,KevinHock",65
marcelogalvao,xewertonfilipe,1,"AntonioJOJunior,Allan019,xewertonfilipe,Avanaa,marknemesis",5
brunapvasconcelos,leuthier,1,"Reddstar,leuthier,bernardojr123,jorgepauloS,arianalima,lemosevele,paulloandrade,Miicchhel",8
deividazevedo2,luanfonceca,1,"JoaquimCMH,Widancassio,LuizAntonioPS,yhikishima,bulbulhossen,hadesyi,mssalvo,cesaredecal,gemmadlou,mortonfox,lszhou,fosu,rezakho,cain2,websoftwares,suriyadeepan,seyfer,KamilWo,adiloztaser,devdrops,singharpit94,riadh,mnasri,marialobillo,michaelachrisco,hwclass,petk,CubeSpawn,rafaelcalpena,mrtnbrjs,tianxiangyi,stone,jin,jaszhix,ambodi,SUDIP2222,jreiher2003,soyelmnd,pfuhrmann,danjesus,karthikbangera87,waglero,dpossamai,Neras,jonatasjp,marvinick,fidding,coredds,HamzaElgarrab,abadiu,petereberlecom,GorelH,ueg1990,habedi,Siyanda,corderogerardo,elgalu,riyasmohamedmr,jpruiz114,whatAboutJohn,itsyache,palerdot,felipexw,fed135,hmnimk,wakasann,calent,uhomira,xiyouMc,e,pe,JeffersonSchmitt,xiaoxinlaile,JoseGCheca,newdigate,PeytonsProfile,CalvinNeo,toygar,tzq668766,condy0919,AlexisOhanian,ZTGravity,ftxbird,rnglab,oleksiiBobko,lucasselliach,bhavyanshu,ARwMq9b6,wstam88,YannisBacha,matteobovetti,ljmf00,MuhikaThomas,drahot,Shipow,tedpark,soutoner,canereren112,marcosptf,nanabingies,timBrockman,ssbrewster,dougmolineux,DeKoServidoni,jonian,zhangzqit,freire45,jesuino,falexandre,techjeffharris,gothburz,bernardoas,d0mme,leoalmig,seerahulsingh,MichalPaszkiewicz,ChrisMcKenzie,brunocvcunha,giquieu,josecaos,DenerThiago21,nsxa,dxd132630,uplusware,yilmazuur,webloper,Ballinger1215,tvvocold,cherifGsoul,sxslex,edimaxcc,ElisangeladeSouza,asimpletune,yogesh,desai,isaak,ordonez,TheHighPriestess,sigu,ckyambitny,radovankavicky,emalloy,Angarsk8,ipvanish,parakh94,arihSiqueira,VagrantStory,masumsoft,tmurph850,fuzzy28,perfettiful,danilovaz,Eivlys,programulya,pisual,6uclz1,carynova,mapleincode,ciervogris,MaDDmin,marianaviana,WildGenie,JeorgeMatt,sinesiobittencourt,docapotamus,mujdatcicek,kusha,b,k,MohammadRazaSEO,Givonaldo,hyunwoo222,mocc89,CarlosAndres22,sandmanman,nutandevjoshi,jcscottiii,vibhaas,onurkaracali,tigefa4u,KonishiLee,HalidCisse,yanivkalfa,germanogualberto,swhgoon,filippella,harshitbudhraja,garguelles,aparecidoSilvano,Uwy,ryanwebjackson,saip106,andypinet,TaoTian,tadasshi,D132,mcendon,echevemaster,mhndev,eduardonunesp,AbuYami,mcachopas,HotSpotShieldElite,juliozuppa,luanfonceca,influx6,RogerFederer03,976500133,dotscript,Gooooodman,Gleyser,primitivorm,samueltcsantos,eliasfaical,EvertonSilva,a240277805,RudyMartin,nandosousafr,zrcing,ereddate,danny200309,ozziest,onlurking,eddyred,ogilvieira,DavidMilberg,Vermisse,raank,ReidHolmes,gugiserman,edu,bot,jarry,krqw,bjinwright,carlosavelino,mtgrunt,AndyHan1001,jacobxperez,smzakirhossain,AZHARULLAH,dokkillo,renanmedina,yahyazini,richardentrekin,manuti,Gvieirabriel,dmikey,ytadventure,Rxon7,vtorves,samuelthiago,joaquimsn,nfultz,beyhosni,chengchaos,duduindo,mstraughan86,vkandola,EclipseMain,greycampbell,ItzLevvie,SoumyaDas,minsle,carlosjuchoa,Sowed,rftHusn,SurfaceB00k,SamoilenkoF,abmaelsantos,xepebdm,XuanQiang91,ping,link,esselte974,raonyguimaraes,bakyeono,canvencer",269
paulapithon,jonathasbsouza,1,"OtacilioN,JonathanMonga,LowApe,thainapaes,kanulp,igormatos,jonathasbsouza,RamonVicente",8
rafaelroballo,paulomenezes,1,"marcellodesales,pedhisandeep,paulomenezes,cenaion,tewarid",5
ianlucas,matequeiroz,1,"cusspvz,angusshire,Mati365,matheusdsm,Srijancse,ostcrom,dalinhuang99,matequeiroz",8
Uirado,JamessonCheron,1,"JamessonCheron,GabrielGCardoso,LuisFelipeBranco,paulobcruz,kilsongomes",5
filipecalegario,frankjuniorr,1,"jeraman,ferkrum,Gugui,frankjuniorr,KevinHock",5
thiagotargino,luiztiago,1,"djalmaaraujo,evertondh,luiztiago,vicainelli,hilbersongilo,gabrielpconceicao,brunocasanova,luizbatista",8
wba25,eduardoluiz7,1,"jcelsocosta,Yuridsm,hitallocavas,eduardoluiz7,phfcs",5
MatheusUehara,Gustavomagalhaes,1,"francoisMich,Gustavomagalhaes,joaolucasbig,ItaloSa,daividvasconcelosleal,nickrrs",6
elidioxg,rafaelfvcs,1,"rafaelfvcs,leandromet,GeoGroup,Programming76,mmramos,az090000,tiagomgeo,johndpope",8
KewinLima,rodrigojulianib,1,"galvaoisabella,cleomenes,rodrigojulianib,Sidney14,victorrolim,cajubavictor,marcosliraa,GuilhermeSchmalz",8
rafaelfvcs,elidioxg,1,"elidioxg,gcmatos,Xupetadebaleia,marrett,tiagomgeo",5
davidrft,eron93br,1,"bpmsilva,diegomhamilton,marvson,OtacilioN,eron93br",5
niltonheck,AJS99,1,"tganzarolli,ivanknow,angusshire,AJS99,Oroneki,lysik,KevinHock",7
danielfsbarreto,roselmamendes,1,"marcwebbie,gprestes,jonatas,pr0d1r2,roselmamendes",5
vitordeatorreao,diogoffmelo,1,"ygoleite,iuryxavier,AnaCSimoes,diogoffmelo,pbsf",5
Rafaziz,mayarajuvencio,1,"rafachriste,Brunaicastro,Mechanichs,mayarajuvencio,Ewertongsantos,gabrielaqueiroz",6
geraldo7junior,thiagoprazeres,1,"magaeu,thiagoprazeres,djadrianodez,andrelfmachado,minasel",5
wison27,t0rr3sp3dr0,1,"tafm,t0rr3sp3dr0,Nuneshere,dalinhuang99,mrov",5
spider8,IFormiga,1,"fabiiomariiano,alexdouglasfp,DiasDouglas,IFormiga,mariodev12,TomasMeneses",6
phellipealexandre,shoesthe6,1,"hortoni,tfcporciuncula,fsantiag,FilipeJrd,shoesthe6,diegovillacis10",6
rodrigojulianib,KewinLima,1,"cleomenes,Sidney14,Giovannisb,victorrolim,KewinLima",5
tmoura10,alexpessoajr,1,"leonardowf,gitcarlosandrade,LidiaYoshino,gabriellisboa,LowApe,bruno,ortiz,helton,isac,alexpessoajr",8
pianolab,leonardopaiva,1,"djalmaaraujo,luizpaulo165,zhang93419,Denisbeder,jeffysonr,nrayann,leonardopaiva,diiegocavalcanti",8
douglasrangel,guilhermegomes01,1,"Lambai,Gabs19,gabriel,silva,shenzhoudance,rftHusn,Seokwe,noncebits,guilhermegomes01",8
thiagoarrais,leonardooo,1,"charlenopires,marcospereira,tomjnsn,gcaixeta,fabiocerqueira,rafaelcaricio,regismesquita,diogobaeder,marcosinger,eapolinario,csjaba,ricardofbarros,cusspvz,brunocasanova,fadc80,Fluen,angusshire,MichalPaszkiewicz,leonardooo,marcbarbosa,jpaulolins,pcmnac,jtemporal,picatz,mstraughan86,igorwc,alelima,dlt,Rxon7,frankyuyong,bezzocoaline,n00bqu33n",32
zecafeitosa,filipecabraal,1,"RamonVicente,filipecabraal,caioalexandrebr,Luizgcsneto",4
ArthurLCastro,alsmoreira,1,"Michelhsn,denislopesmoura,alsmoreira,HMLeao,marknemesis",5
fmm,peaonunes,1,"laissandrade,luisgabriel,vernaillen,peaonunes",4
patomarques,esdrascavalcs,1,"esdrascavalcs,douglascabral,Linux,Player,limatheus,az090000,nfultz,dalinhuang99,mstraughan86,guilmour,alalbuquerque",10
marconemm,IsmaelGomes,1,"Ollawo,IsmaelGomes,rafafreitas,laisvidoto1994",4
gustavolopess,allansid,1,"joaozenos,va94,jprmoisakis,allansid",4
thiagohenrique0810,alanav120,1,"Innovatech,developer,djadrianodez,alanav120,warlleyzulu",4
brunodutra,brunolimawd,1,"brunolimawd,marcelapam,angusshire,KevinHock",4
llac78,allanragec,1,"DiegoSMelo,devilfox,allanragec,heitordonato",4
GeneseLessa,fernandopereira,1,"fernandopereira,antonio55,tiagohxsx,vitordelarge",4
igor-simoes,igorsimoes,1,"igorsimoes,JanioSilva,lucasharada,henriquenasc,jeandersonbc,aldiransantos",6
danielcandidos,Gustavomagalhaes,1,"clodoalvesjr,Gustavomagalhaes,luizfranca,robugos,OtacilioN,lisansouza",6
marvinbraga,horaciojcfilho,1,"EdZava,emersonlara,ortuagustin,horaciojcfilho,landrix,cadu,tech,bravesoftdz,leogregianin,giquieu,CezarGarrido,MayaFiuza,KABALAS,kitesoft",13
palmeidaprog,Makqsi,1,"Makqsi,gabrieoel,AronLoibman,dalinhuang99,marianalins,danilok16,Tuliohos",7
caiosm1005,thiagogalvao,1,"thiagogalvao,skilman66,WickedPeanuts,SamanthaSommerville",4
Artrogeno,edigomes,1,"MandyBe,edigomes,yankasantos,AizaCoutinho,Farelo,fabipriscila,adellylima,italobarrosv,suellencarvalho,contentMvds",10
viniciuspolux,SandroSena,1,"sergioricardojsj,equinoxsnow,irandijunior1903,dougcarvf,OtacilioN,SandroSena",6
vinyfalcao,fehaa,1,"fehaa,thigorqueiroz,flafjr,andrelucasti",4
IFormiga,diegonvs,1,"lacerdanycolas,fabiiomariiano,IsmaelCesar,samanthagarcia,JhonSidney,rafaaxits,diegonvs,alexdouglasfp,Ydonasc,thiago123789",10
paulofloliveira,leticiamachado,1,"claudioalvesmonteiro,rcgalvao,leticiamachado,gabifdemelo",4
leonardopaiva,sfilhu,1,"thulioph,rodoherrera,nrayann,brunocasanova,cusspvz,angusshire,sfilhu,diiegocavalcanti,jpruiz114,ferreirabdiego",10
MarcusDEFGH,matheuslins,1,"alecarneiro1993,pedrobpio,fabriciorby,jonatassales,vinacovre,victorpre,freddy556,matheuslins,iuryxavier,pauloromeira,KevinHock",11
brunolrb,moisespalma,1,"moisespalma,vivisousa,FabioAguiar",3
wylliams,cassiolpaixao90,1,"manoelfgneto,ozair1910,RikDaniel,MarcoUpe,iagorichard,juniord23,biancamoreira93,dacio1,MatthewMartins,cb130felix,mateuschaves,JonatanLins,cassiolpaixao90",13
debscorreia,renatooliveira,1,"renatooliveira,alvarojoao,fernandolins,shawnblue,beatrizuezu,quatroka,thulioph,eduardo,melo,orlandosaraivajr,wellmotta,dennys,bd",11
pethersilva,tuliohmendes,1,"tuliohmendes,shankx50,wanessaglima,justinharringa,haroldogtf,enilapb,oxesoft",7
hugoesb,gileno,1,"vitoriavasconcelos,rafaeln,gileno,MichalPaszkiewicz",4
wagnerpaxs,engtom,1,"lenilsonjr,engtom,adrianobarros,lcassiol,allancarlos123,andreatavares,brunofarias",7
leimig,rcbop,1,"mikegwhit,angusshire,rcbop,victorrattis",4
brunosan7os,wellington16,1,"Miicchhel,wellington16,ajffdelgado,felipeaurelio,Nobertostuart,gida17,eridsonigor10,nobertojr,angusshire,ferreiralisson,mushi720,horion",12
rcbop,carloseachaves,1,"alvarojoao,angusshire,androidcode33,violivei,Linux,Player,carloseachaves,dalinhuang99,mstraughan86,vkandola,EclipseMain,rftHusn,tewarid",12
rodrigoperazzo,JPMagalhaes,1,"justinharringa,erikapessoa,leandrowcs,JPMagalhaes",4
aeciovc,Eviomarcio,1,"Jubastic,binhoferreira1994,JoannaMaressith,matheusnascgomes,CaladoLucas,Eviomarcio,ovflowd",7
miguel89,Jemesson,1,"diegosax,Davyson59,EthanRafael,Jemesson",4
saulo2,mirjahal,1,"hucarv,SergioMacGyver,vrcca,mirjahal",4
tavlima,patrickrbc,1,"patrickrbc,angusshire,brunitto,kroitor",4
andersonpe,alsmoreira,1,"rhaissasantos,diegoAntonio,alsmoreira,vtnorton",4
joaozig,tcostam,1,"gtlima,andreninoff,fabriciohendrix,chetanspeed511987,marcelocost,rodrigopaiva,tcostam",7
lucasrbk,LucasFranciscoCorreia,1,"LucasFranciscoCorreia,Ollawo,rodrigoguedes98,Gedenilton",4
lsca,VanessaVieiraVV,1,"ccsguedes,lucasferraaz,lucassklp,VanessaVieiraVV",4
diogo-lins,victorlaerte,1,"ajsb85,victorlaerte,ygorcosta,fernandosouza",4
gpb,daniellqueiroz,1,"daniellqueiroz,brenocunha,rochax,espreto,m0nad,marcelomf,angusshire,idan89,alexoslabs,KevinHock",10
mangelis,antoniosj,1,"luanamartins,antoniosj,eduardo,melo,LowApe",4
ericklucena,talitaoliveira,1,"rodrigolc,Djeefther,psg2,talitaoliveira",4
diogo-lins,victorlaerte,1,"ajsb85,victorlaerte,ygorcosta,fernandosouza",4
witerbino,lubarinobr,1,"phpenterprise,lubarinobr,LiGuiRong,iltonkp",4
MayaraCastro,Thyerry,1,"R3turnZ3r0,Thyerry,lizandraligia,diegopatrik,Agostinh0,mateuschaves",6
rsilvabr,guiocavalcanti,1,"reloadbrazil,guiocavalcanti,brunocasanova,leonnsc,jmrenouard,multiarts,jh00nbr,AlinaFialho,KevinHock,mstraughan86,EclipseMain,nfultz,yanzhao571,marknemesis",14
dnloliveira1,KewinLima,1,"rspds,amandafilizola,cajubavictor,thiagom123,connorhart,efrlima,marcosliraa,KewinLima,marcusvinf,ortro",10
tvarjao,filipevarjao,1,"jacksonpires,filipevarjao,edsonalves,RonierisonMaciel,angusshire,tassiogoncalves,dalinhuang99",7
lucianojsjr,marcoshmendes,1,"padraigoleary,EJuniorBCC,marcoshmendes,jonatanstem,raphaelramalho,gabrielgpa",6
mmfsf,vitorbc,1,"bartee,laralagioia,vitorbc,AngeloDias",4
Valgueiro,ovictoraurelio,1,"Filipe,Cumaru,jvcoutinho,ovictoraurelio,marcoaferreiras,luisfelip80,gfsca,KevinKAMS,davidmarccos,rosinaldoguedes,heitorado",10
Thyerry,MayaraCastro,1,"MayaraCastro,lizandraligia,R3turnZ3r0,diegopatrik",4
jonathasbsouza,caiobsouza,1,"caiobsouza,ItaloSa,AdiChat,nickrrs",4
eduardoluiz7,wba25,1,"wba25,lucasfjportela,silvnt,hectorhm",4
adecarli,t0rr3sp3dr0,1,"lams3,LeonardoGaldino,t0rr3sp3dr0,SergioTTF,Gui,Lima,marina,barros",6
eliene-mb,,0,,0
anniewalker,,0,,0
lucasvsr,,0,,0
nataliaalves,,0,,0
thiagohsramos,,0,,0
fernandohenriqueguimaraes,,0,,0
verdanatech,,0,,0
Idealizza,,0,,0
leonardoaraujo85,,0,,0
hagileprojetos,,0,,0
chrisguerra,,0,,0
luau-project,,0,,0
guardiaum,,0,,0
ThyagoMC,,0,,0
jorgesouza,,0,,0
dihrodrigoh,,0,,0
Heyzeh,,0,,0
dssv,,0,,0
edsonjunior,,0,,0
h33lisola,,0,,0
allan-mlpe,,0,,0
mouradap,,0,,0
tiagocaraujo,,0,,0
teles-tarcisio,,0,,0
joaoMonte,,0,,0
leobrito,,0,,0
genomika,,0,,0
nickdag,,0,,0
fjedi9,,0,,0
tiaoalvino,,0,,0
gutembergJunior,,0,,0
AVISE-TW,,0,,0
tecnodados,,0,,0
necktro,,0,,0
observatoriosar,,0,,0
Nigiri,,0,,0
Jguidsdevrecife,,0,,0
warleyjunior,,0,,0
meninababi,,0,,0
Rodris,,0,,0
alliance-life,,0,,0
LeandersonCordeiro,,0,,0
LabEdmarVictor,,0,,0
duit,,0,,0
andrebarros,,0,,0
ThiagoVieiracqlt,,0,,0
odevezap,,0,,0
diegopessoa86,,0,,0
DanielBeckman,,0,,0
carlosherrerazag6,,0,,0
KaoozFreitas,,0,,0
pedrogac22,,0,,0
fareias,,0,"alegauss,pragmaticivan,jaredgorski",3
hmullermail,,0,,0
infoVisGroup,,0,,0
queirozsantos,,0,,0
mendoncajessica,,0,,0
gopaladasa,,0,,0
tiagomvf,,0,,0
cs-alessandra-pereira,,0,,0
erasmojr,,0,,0
maurofeitosa,,0,,0
leovc,,0,,0
Rickardu,,0,,0
ftrajano,,0,,0
MartinBalerio,,0,,0
CycleView,,0,,0
romuloslv,,0,,0
isacfernando,,0,,0
popinha13,,0,,0
juliovilar,,0,,0
Leandrogalindo,,0,,0
if1015-datascience-ufpe,,0,,0
marcosfbo,,0,,0
29manuel,,0,,0
guava,,0,,0
Saber-Tecnologias,,0,,0
quelcmpllo,,0,,0
sergio6268,,0,,0
EmersonFreire,,0,,0
elainexavier,,0,,0
GPRT,,0,,0
tisstech-brasil,,0,,0
arthurmagno,,0,,0
LivreDigital,,0,,0
whyllyan,,0,,0
ustore,,0,,0
phsg,,0,,0
adstec,,0,,0
viniciussantanav,,0,,0
arma29,,0,,0
intelivix,,0,,0
tarcisioestevam,,0,,0
raisamagalhaes,,0,,0
biancadoming0s,,0,,0
luciosribeiro,,0,,0
Manoeloli,,0,,0
AccenturePSanches,,0,,0
RafaelJardim,,0,,0
jpos2,,0,,0
carmopedroza,,0,,0
AndersonPaixaoNascimetno,,0,,0
uxpe,,0,,0
luizafpa,,0,,0
CIRGUPE,,0,,0
uandersonricardo,,0,,0
implemente,,0,,0
mairaaraujo,,0,,0
pontesupe,,0,,0
AlbuquerqueFitec,,0,,0
mv-informatica,,0,,0
lucasfcavalcanti,,0,,0
edjordao,,0,,0
pdacruz1,,0,,0
jorgelar,,0,,0
maribandeira,,0,,0
ghbmelo,,0,,0
luizafpalira,,0,,0
EliardoClaudio,,0,,0
ThiagoFerreiraMachado,,0,,0
robertojmello,,0,,0
khurama,,0,,0
luizafpalira,,0,,0
rogeriolimabr,,0,,0
mjagfilho,,0,,0
projeto-we-care,,0,,0
suruagy,,0,,0
fracmt,,0,,0
ThaisFernanda,,0,,0
PetSaude,,0,,0
ronalso,,0,,0
henriquerebelo,,0,,0
pycursos,,0,,0
fredcsilva,,0,,0
khurama,,0,,0
victorhazin,,0,,0
nordestinove,,0,,0
jontateixeira,,0,,0
jsmochin,,0,,0
0Pedr,,0,,0
hlb8,,0,,0
agileecommerce,,0,,0
VIISARDL,,0,,0
3ysoftwarehouse,,0,,0
luan1221,,0,,0
globalmedia,,0,,0
brunoxaves,,0,,0
projetoclaria,,0,,0
Tinfor,,0,,0
colabore,,0,,0
frevo-on-rails,,0,,0
grpires,,0,,0
AnaMontenegro,,0,,0
kafram,,0,,0
marcotuliozahn,,0,,0
unibratec-dwa,,0,,0
celsonrd,,0,,0
jualabs,,0,,0
cjmaufpe,,0,,0
borapedrao,,0,,0
pedro2049,,0,,0
ajoathan,,0,,0
ddinarte,,0,,0
r0yalss,,0,,0
lukpbs,,0,,0
RiSE,,0,,0
labsemente,,0,,0
FJOS-LF,,0,,0
amitcesar,,0,,0
djonathascardoso,,0,,0
bureauworks,,0,,0
gwsistemas,,0,,0
labcodes,,0,,0
InterageASH,,0,,0
silvinhamorais,,0,,0
rodrigoprazim,,0,,0
dvdiegoviana,,0,,0
Gvascons,,0,,0
tcnl,,0,,0
Cmagnum,,0,,0
lucaspcburgos,,0,,0
neurotechpe,,0,,0
DeboraGouveia,,0,,0
brunokbcao,,0,,0
CESARBR,,0,,0
luizinhovao,,0,,0
GleibsonCarlos,,0,,0
niesio,,0,,0
anajuriti,,0,,0
AndreRBrandt,,0,,0
rrxs,,0,,0
RodrigoN4,,0,,0
augustovs,,0,,0
mgrtecnologia,,0,,0
pocshop,,0,,0
Sauroo,,0,,0
hilariopiocomercial,,0,,0
ghmarinho,,0,,0
petrusz1,,0,,0
lostico,,0,,0
alexsandrogc,,0,,0
montenegrorabello,,0,,0
caioximenes,,0,,0
LucsFreitas,,0,,0
scadete,,0,,0
marceloberenguer,,0,,0
ajudae,,0,,0
carlosbrandao,,0,,0
marianeaguiar,,0,,0
developercmatos,,0,,0
celsomoreirape,,0,,0
RenataRodrigues,,0,,0
msfilho,,0,,0
paulo-dev88,,0,,0
leandrocaf,,0,,0
samuelvalentim,,0,,0
edencoelho,,0,,0
abbf,,0,,0
ronaldoomjr,,0,,0
pettll,,0,,0
hugolz,,0,,0
sidneyn,,0,,0
eduardoformiga,,0,,0
felipejm,,0,,0
Flavio13Lins,,0,,0
KauanRodrigues,,0,,0
rafaelnascimento96,,0,,0
renatogbp,,0,,0
exclama,,0,,0
TheCubeNet,,0,,0
WilsonPortoNeto,,0,,0
xjulius,,0,,0
Guloseimas,,0,,0
LucasLJorge,,0,,0
thiagolinsaraujo,,0,,0
PaulTolkien,,0,,0
FelipeMartins96,,0,,0
thiagogregorio,,0,,0
pauloscr,,0,,0
teulalio,,0,,0
UnibratecTeam,,0,,0
fulviofalcao,,0,,0
yuunchizito,,0,,0
nodebotsrec,,0,,0
emmanuelsiqueira,,0,,0
eduardoraro,,0,,0
joaquimferraz,,0,,0
douglasjfm,,0,,0
tiagoalsilva,,0,,0
gmpaixao,,0,,0
rodrigonorat,,0,,0
kiskodev,,0,,0
limasued,,0,,0
escorel,,0,,0
lmnascimento,,0,,0
tasr,,0,,0
Pedalai,,0,,0
murix-technology,,0,,0
cs-felipe-trevisan,,0,,0
blogdocafesaude,,0,,0
MarcusPitang,,0,,0
lapediufpe,,0,,0
luizcordeirosn,,0,,0
cartello,,0,,0
gabrielbazante,,0,,0
djairvieira,,0,,0
allamolima,,0,,0
lfbonato,,0,,0
Champsons,,0,,0
aka90888,,0,,0
andrelarruda,,0,,0
mari988,,0,,0
jardelhnascimento,,0,,0
frontise,,0,,0
cledsonlima,,0,,0
redu,,0,,0
dudeplz,,0,,0
rafaeladiniz,,0,,0
coal-lang,,0,,0
glmoura,,0,,0
rcag2,,0,,0
geybsonLima,,0,,0
crow-studio,,0,,0
IF977,,0,,0
philNorbert,,0,,0
KennedyLins,,0,,0
marcioancelmo,,0,,0
nuecompany,,0,,0
biswon,,0,,0
RFormiga,,0,,0
EscoreBu,,0,,0
bernardo-eita,,0,,0
CombatOrpheus,,0,,0
filipecmedeiros88,,0,,0
Datametrica,,0,,0
viniciusCostaLins,,0,,0
diegosm3,,0,,0
MegPhoto,,0,,0
FEMUGPE,,0,,0
pet-informatica,,0,,0
fernandeshard,,0,,0
ClaudioSilvaDev,,0,,0
emmanuellmota,,0,,0
eduardohmrodrigues,,0,,0
petronioadm,,0,,0
pabloneves,,0,,0
agenciaopera,,0,,0
leoamf,,0,,0
gianpietrodimatteo,,0,,0
PyLadies-Recife,,0,,0
tiagocalisto,,0,,0
Know-How-Now,,0,,0
carlos4web,,0,,0
rodrigoam22,,0,,0
janduijorge,,0,,0
VictorViana,,0,,0
rafaelpereirainformata,,0,,0
A2-Software-Studio,,0,,0
waltonribeiro,,0,,0
wololo-tech,,0,,0
jhlr,,0,,0
eletronic,,0,,0
otluiz,,0,,0
alexmulatinho,,0,,0
jmachadoaneto,,0,,0
cjmduarte,,0,,0
rafaelborja,,0,,0
ggcampos,,0,,0
joseanesantos,,0,,0
BestDesigners,,0,,0
wecarecorp,,0,,0
wagnercasino,,0,,0
jgabrielssilva,,0,,0
Manasses-Java,,0,,0
eduardoemery,,0,,0
isaacdias,,0,,0
UFPE,,0,,0
ecsn,,0,,0
IkaroSales,,0,,0
silvinoneto,,0,,0
eperazzo,,0,,0
henriqueapollo,,0,,0
digitalnativa,,0,,0
leoaraujo-royal,,0,,0
manoelaugustoc,,0,,0
viniciusjsantanna,,0,,0
Bode269,,0,,0
geekcafe,,0,,0
BrunoCamelo,,0,,0
b2tradingclub,,0,,0
clinica-sim,,0,,0
oliveiramarcello,,0,,0
if710,,0,,0
porquin,,0,,0
codetimesistemas,,0,,0
NeylorCesar,,0,,0
iamavalon,,0,,0
kimtjs16,,0,,0
eudesnoberto,,0,,0
somosaponte,,0,,0
douglasventura,,0,,0
amorim-cleison,,0,,0
jeffersonamorim,,0,,0
DevIsola,,0,,0
venosyd,,0,,0
vitoivan,,0,,0
heitorfranca,,0,,0
Ch1c0h,,0,,0
BananaDigital,,0,,0
somdok7,,0,,0
fmsystem,,0,,0
makellage,,0,,0
rosilene15,,0,,0
gfellype,,0,,0
tpresende,,0,,0
smochin,,0,,0
wiltonmoreirajr,,0,,0
sflorencio,,0,,0
avantiaipd,,0,,0
alissonmenezes,,0,,0
znmC3zBvUaZS1GC1CRns,,0,,0
LAMFSistemas,,0,,0
Makqsi,,0,,0
Silop,,0,,0
amitc77,,0,,0
flashrising,,0,,0
isabarrostw,,0,,0
whiteofdark,,0,,0
rairangelos,,0,,0
luizlbon,,0,,0
portalabsurdo,,0,,0
ueduardo,,0,,0
brunodarce,,0,,0
comptechsolucoes,,0,,0
FredericFerrera,,0,,0
danieldani1983,,0,,0
viitra,,0,,0
rafamelima,,0,,0
PedroVictorDev,,0,,0
andersontrinity,,0,,0
jonathan2008r,,0,,0
BrunoLeo,,0,,0
Jeffguitar,,0,,0
andreponce,,0,,0
In-Loco-Media,,0,,0
guilhermecahu,,0,,0
italosimoes,,0,,0
gdg-recife,,0,,0
fabianotiagobs,,0,,0
JenniferPayne,,0,,0
EduardoSoares,,0,,0
rsaRodrigoSales,,0,,0
kassioribeiro,,0,,0
mrmgomes,,0,,0
hugorlima,,0,,0
aponte,,0,,0
carlosneander,,0,,0
maurojcs,,0,,0
