User,Followers,nFs,All_Followers,nF
pcstl,"fernandocastor,horaciojcfilho,karlafalcao,JoaoGFarias,meiralins,rodolfoestevam,hpbl",7,"JoaoGFarias,onlurking,conwaykyle,meiralins,MarcoWorms,horaciojcfilho,leonidasv,Natalia888,ythecombinator,fernandocastor,gfreivasc,juliadebelli,imvm,Valbrand,guedesbgeorge,jeronimobs,hpbl,eltonfs,rodolfoestevam,marcoonroad,ItzLevvie,yagonobre,racerxdl,Mazuh,joaogabrielsg,andremendesc,macabeus,oftheoutergods,baac,matheusrufca,IanRamosC,roxdavirox,odesenvolvedor,SHENOISZ,iillx,mstraughan86,sombriks,anabastos,dplewis,thekilian,santiagomarcos,nikumu,PuckmanXY,appositum,neu,rah,falcaoaugustos,dskwf,tavares1,notdanilo,I,am,Miguel,terremoth,minsle,RafaelNobrega,rftHusn,karlafalcao,caotic123",56
rasoliveira,"deividazevedo2,arthuralvim,roselmamendes,raquelguimaraes,raony,johanngomes,Bonifacio2",7,"murilopontes,gmotta,ronualdo,henriquerrezende,mananbharara,tejinders,tnaires,mrgeorgegray,raquelguimaraes,arthuralvim,roselmamendes,raony,mauriciomelo,thaisfreitas,shyba,Bonifacio2,johanngomes,gprestes,SenaitMiheretu,deividazevedo2,MarcosX,darruda,EmilyNemy,angusshire,MichalPaszkiewicz,nicolastrres,jtharris,leorog,edu,bot,rahulkavale,narendraj9,tiberiuichim,KevinHock,marcusvinicus,rodrigogaiao19,abmaelsantos",36
allanragec,"interaminense,victorlaerte,diegonvs,alexpessoajr,albertmourato,antoniocorreia,llac78",7,"douglas,queiroz,llac78,victorlaerte,feliperp,81,alexpessoajr,phcp,camisLuisa,akinhwan,albertmourato,igormatos,interaminense,antoniocorreia,haroldogtf,diegonvs",14
peaonunes,"tomersimis,caionovaes,luishmelo,lvrma,macm3,dgmneto,lapl",7,"tomersimis,pedrootorres,luishmelo,caionovaes,Nuneshere,marlonwc3,lapl,TomasArruda,cb16,wramalho,dgmneto,ruybrito106,macm3,rcalegario,Trakton,bss3,lvrma,jamessoubry,LeonardoGaldino,ottony",20
brunolimawd,"hamorim,FranckAJ,FranciscoMarinho,marcoshmendes,brunodutra,andreximenes,tiagoalsilva",7,"DereckSantana,brunodutra,quenquen,caiofellipe,lucasbao,gabrielduque,FranciscoMarinho,dpcavalcanti,mstred,raphaelpor,jonoid,thulioph,marinalimeira,angusshire,jonataa,andreximenes,maretoli,hamorim,felladrin,JoseRafael97,trandreluis,amslv,FranckAJ,yankasantos,cesarbruno16,jpmirandas,tiagoalsilva,marcoshmendes,di3goleite,iprodev,Emanueltotem",31
acmh,"pcstl,ovictoraurelio,tomersimis,Juniorlimaivd,renatoosousa,ntocampos,aht360",7,"tomersimis,pazspm,Sjasilva,pcstl,ntocampos,ovictoraurelio,mguilhermetavares,jorgehclinhares,aht360,LeonardoGaldino,walbermr,heitorrapela,Juniorlimaivd,renatoosousa",14
arthurmichel,"luiztiago,guilhermefarias,yelken,sergiohampel,tacionery,marcoshmendes,felipemarques8",7,"thulioph,gusshmelo,SuriyaaKudoIsc,luiztiago,sergiohampel,vicainelli,guilhermefarias,gabrielpconceicao,giorgiosaints,brunocasanova,cusspvz,mikegwhit,angusshire,felipemarques8,riyasmohamedmr,VagrantStory,yelken,tacionery,lucasselliach,Shipow,lucasbento,caiocutrim,thiagoaymar,marcoshmendes,dalinhuang99,opengiineer,rftHusn,di3goleite,shenzhoudance",29
vanessa,"talitaoliveira,interaminense,victorcarrico,amandasavluchinske,eduardolsneto2,alnp",6,"rvlb,19,eduardolsneto2,ricarthlima,amandasavluchinske,alnp,joaozenos,opengiineer,reiarthur,afonsopacifer,mauricionr,bergpb,leandrw,skyzito,talitaoliveira,drcabral,interaminense,mikejavier,joalisson,rcaferati,antoniocsz,MichelRibeiro1,lucassklp,matagus,llazzaro,dann95,EmersonVictor,iillx,victorcarrico,gabrielaleal,kingoodie,adelmonsouza,eduarda",32
gcaraciolo,"guilhermefarias,tuliohmendes,WandersonAlves,luizlago,marcoshmendes,tamiresa",6,"luizlago,tuliohmendes,joaopaulofs,angusshire,WandersonAlves,guilhermefarias,xgeo,tamiresa,fpchemical,suissa,nfultz,Bunlong,marcoshmendes,hails",14
luizlago,"tuliohmendes,JoaoGFarias,gcaraciolo,paulomenezes,lpmourato,rubens73",6,"JoaoGFarias,gcaraciolo,rubens73,drscaon,renanoaraujo,lpmourato,paulomenezes,Mucilon,tuliohmendes,liphvf,VitorPoncell",11
omailson,"renatooliveira,arthuralvim,dvro,lauromoura,figueredo,fdsadat",6,"fernandolins,adrianomelo,luisgabriel,rogerzanoni,renatooliveira,brunocoelho,viniciusmonteiro,vanessagl2,fernandogrd,jpanganiban,mateusgrb,anselmolsm,figueredo,dvro,arthuralvim,fdsadat,lauromoura,gomesfelipe,guru81,valoraccoon",20
rvlb-19,"vanessa,RodrigoCastiel,amandasavluchinske,phrps,mateusnbm,mattvie",6,"gabrielamota29,RodrigoCastiel,phrps,vanessa,mateusnbm,caroolpmelo,mattvie,vvs3,andreabduque,jonathanrbarreto,amandasavluchinske,RodolfoAndrade,adoniasvsbarros,opengiineer,gfsca,reiarthur,znonzadmin,KevinHock,adelmonsouza",19
Lucas-CardosoO,"gabrieldluca,penelopearaujo,lucasbarross,AugustoQueiroz,rafaelmotaalves,luanbrito7",6,"LeonardoGaldino,penelopearaujo,gabrieldluca,manuellavalenca,EmersonVictor,AugustoQueiroz,rafaelmotaalves,gabrielpessoa1,luanbrito7,lucasbarross,RamonSaboya",11
