Member,Owner
,
,"geybsonLima/Atividade007,geybsonLima/Atividade7,geybsonLima/aula24-11,geybsonLima/aula2411,geybsonLima/novoProjetoTIJG,geybsonLima/Ol-mundo,geybsonLima/simuladorIPTU,geybsonLima/SimuladorIPTUG"
,
,glmoura/projects
coal-lang/coal,coal-lang/coal
,
,
,"MegPhoto/Interdisciplinar---Card-pio,MegPhoto/PROJETOS"
"FEMUGPE/femug-lottery,FEMUGPE/FEMUGPE,FEMUGPE/femugpe.github.io,FEMUGPE/Hub-de-Comunidades","FEMUGPE/femug-lottery,FEMUGPE/FEMUGPE,FEMUGPE/femugpe.github.io,FEMUGPE/Hub-de-Comunidades"
PyLadies-Recife/find-her,PyLadies-Recife/find-her
"A2-Software-Studio/A2-webapi-tokenauthentication,A2-Software-Studio/signalR,A2-Software-Studio/signalR-stock-ticker","A2-Software-Studio/A2-webapi-tokenauthentication,A2-Software-Studio/signalR,A2-Software-Studio/signalR-stock-ticker"
,
,"VictorViana/Adivinhe-o-numero-em-python,VictorViana/Conversor-de-decimal-para-X,VictorViana/Dados-cadastrais-NOME,VictorViana/JogoDaVelha,VictorViana/Login-code"
,janduijorge/challenge-ux-ui
"BAMoreira/besteira,daidson/MonitoriaInformatica2017s2,jtdsjossany/logica2017s2",rodrigoam22/spacewar
,
Know-How-Now/ProjetoEquilatero,Know-How-Now/ProjetoEquilatero
,"tiagocalisto/hacktoberfest,tiagocalisto/hacktoberfest-1,tiagocalisto/Hacktoberfest-Data-Structure-and-Algorithms,tiagocalisto/Make-a-Pull-Request,tiagocalisto/tiagocalisto.github.io"
,"gianpietrodimatteo/hello-world,gianpietrodimatteo/vim-config"
,"pet-informatica/avaliacao360,pet-informatica/CinQuest,pet-informatica/DartMan,pet-informatica/DartManOld,pet-informatica/enapet,pet-informatica/enapet2013,pet-informatica/geoquest,pet-informatica/geoquest-backend,pet-informatica/geoquest-ui,pet-informatica/hackapet,pet-informatica/Michelango,pet-informatica/opei,pet-informatica/pet-informatica.github.io,pet-informatica/PETGameEngine,pet-informatica/petutility,pet-informatica/petutility-api,pet-informatica/petutility-web,pet-informatica/programa-de-ferias,pet-informatica/Spark,pet-informatica/workshop-nodejs-react,pet-informatica/workshop-nodejs-react-api,pet-informatica/workshop-nodejs-react-web"
,"leoamf/android,leoamf/Angular4-HelloWorld,leoamf/CampeoesDasCopas,leoamf/CounterReact,leoamf/CriarArquivoMSProject,leoamf/iOS_Basico,leoamf/iOS_Projeto,leoamf/Swift"
,agenciaopera/frontend-developer
,pabloneves/if668_2018_1
,"petronioadm/articles,petronioadm/devise-i18n,petronioadm/gaateste,petronioadm/play2-casadocodigo"
,"eduardohmrodrigues/3D-Render,eduardohmrodrigues/eduardohmrodrigues.github.io,eduardohmrodrigues/FeaturesExtractor,eduardohmrodrigues/MONO,eduardohmrodrigues/UnityEditorTools,eduardohmrodrigues/UnityPathTracer,eduardohmrodrigues/UnityRTGI,eduardohmrodrigues/x-pression"
,"emmanuellmota/atom-react-native-autocomplete,emmanuellmota/docker-emby-unlocked,emmanuellmota/giphy,emmanuellmota/GiphyAPI,emmanuellmota/gitclone,emmanuellmota/javascript-time-ago,emmanuellmota/Kendo-Docs,emmanuellmota/NetGuard,emmanuellmota/node-file-manager,emmanuellmota/node-horseman,emmanuellmota/nodecast,emmanuellmota/phonegap-template-framework7-react,emmanuellmota/react-native-collapsible-calendar,emmanuellmota/react-native-parallax,emmanuellmota/react-native-pulse,emmanuellmota/search-cpf,emmanuellmota/site,emmanuellmota/TaxiServer,emmanuellmota/timeago.js,emmanuellmota/vuejs-webpack-express,emmanuellmota/wetty,emmanuellmota/xde"
,ClaudioSilvaDev/PowerBI-DataScience
,
,
,"redu/analytics,redu/apps,redu/autorregulacao,redu/benchmarks,redu/blog,redu/chat-logger,redu/courses,redu/courses-starter-kit,redu/cruisecontrol.rb,redu/destroy-soon,redu/dev-days,redu/donefy,redu/ey-cloud-recipes,redu/formacao-ruby-redu,redu/has_friends,redu/help-center,redu/hypermedia_mapper,redu/invitable,redu/jredu,redu/livro,redu/mobile,redu/oauth-consumers,redu/omniauth-redu,redu/permit,redu/permit-gem,redu/qt-example,redu/random-words,redu/redu,redu/redu-android,redu/redu-canvas-js,redu/redu-chat,redu/redu-java-applets.heroku.com,redu/redu-js,redu/redu-ruby,redu/redu-wall-cli,redu/redu-wall-web,redu/redu.github.com,redu/redupy,redu/simple_acts_as_list,redu/submitit,redu/tech.redu.com.br,redu/the-shire,redu/todo,redu/ui-components,redu/untied,redu/untied-consumer,redu/untied-consumer-sync,redu/untied-consumer-sync-activerecord,redu/untied-consumer-sync-mongoid,redu/untied-publisher,redu/usability,redu/vis,redu/vis_client,redu/walledgarden-ey-cloud-recipes,redu/wally,redu/wally.js"
,"cledsonlima/FacilMVC,cledsonlima/jquery-html5-upload,cledsonlima/projeto_sistema,cledsonlima/tipsy"
frontise/Frontise-Interactive,frontise/Frontise-Interactive
,
dejetos/diaboacuatro,"tiagoalsilva/front-end-test,tiagoalsilva/jeet,tiagoalsilva/newsDPedro"
,"douglasjfm/AppCL,douglasjfm/BioCompP1,douglasjfm/CL,douglasjfm/dstreamrepo,douglasjfm/glutopengl,douglasjfm/jobs,douglasjfm/JPGPusher,douglasjfm/ML,douglasjfm/photoart,douglasjfm/play,douglasjfm/projetopg,douglasjfm/projetopg2,douglasjfm/Robotica,douglasjfm/uC8051,douglasjfm/VEMGMM,douglasjfm/WMIRest,douglasjfm/wpbpo"
,joaquimferraz/expressolivre
,
,
,"nodebotsrec/johnny-five,nodebotsrec/nodebotsrec.github.io,nodebotsrec/pebble-rolling-spider,nodebotsrec/sumobot-jr"
,yuunchizito/EnglishTranslation
,"fulviofalcao/freedom,fulviofalcao/github-course,fulviofalcao/s2it"
"UnibratecTeam/menuManiaProject,UnibratecTeam/PSC2015.1","UnibratecTeam/menuManiaProject,UnibratecTeam/PSC2015.1"
,
,
,
,"nordestinove/files,nordestinove/nordestinove"
"AngeloFDias/aulagithub1b,Hiorrannabrissantt/Sistema-de-controle-de-vers-o",
,thiagolinsaraujo/curso-git
"ericlrf/BibliotecaIES,ericlrf/BRContador-2",LucasLJorge/BRContador
,"Guloseimas/guloseimas-adm,Guloseimas/guloseimas-cli"
ivanknow/middleware-panfleto-movel,
,
,
,
escorel/Fonte,escorel/Fonte
fcgr/cintran,"jardelhnascimento/express-workshop,jardelhnascimento/hello-world,jardelhnascimento/learn-node,jardelhnascimento/Maratona-BOTs,jardelhnascimento/pintosOS,jardelhnascimento/Spoon-Knife,jardelhnascimento/tab2015-js,jardelhnascimento/teste"
,"mari988/ex11,mari988/spacewar"
"erickapsilva/AJUDAE,roxacarv/Projeto-AED","andrelarruda/andrelarruda.github.io,andrelarruda/Cine-Project-v2.0,andrelarruda/HelloWorld,andrelarruda/Intro-Python"
,"aka90888/Grafos,aka90888/ProjetoPOO,aka90888/RestaUm,aka90888/sistemaacademico"
,
,"lfbonato/Android,lfbonato/MEAN-JS"
,allamolima/curriculo
masf2016/madodis,"djairvieira/algoritmodeOrdenacao,djairvieira/BarraDeStatusLove2d,djairvieira/Documenta-o,djairvieira/DocumentoSistemaRestaurante,djairvieira/IMC.Android,djairvieira/IMCANDROIDSTUDIO,djairvieira/JOGODELUTA-COM-LOVE2D-LUA,djairvieira/Jogo_Galaga,djairvieira/Jogo_Pong,djairvieira/madodis,djairvieira/Madodis_Kalangus,djairvieira/Ordem_de_Servico,djairvieira/ProjetoMADODIS"
,gabrielbazante/projetowebp2
,
,
,
,MarcusPitang/prismic-benefits
,"blogdocafesaude/mailin-smtp-api,blogdocafesaude/mailin_sms_api"
,
,murix-technology/Open-Source-AHRS-With-x-IMU
,"Pedalai/app,Pedalai/landing-page,Pedalai/readme"
,"tasr/cabalo,tasr/digitest,tasr/Program0109,tasr/virusRastreioCorreios,tasr/x360ce"
,lmnascimento/aulaspraticas
,"brunokbcao/music-collection-sync,brunokbcao/ourfi,brunokbcao/ourfi-server"
,jontateixeira/FVTool
augustolf/gerenciamentoponto,
,"lucasvsr/ALT,lucasvsr/MusicLetter,lucasvsr/musicstreaming-des-corp,lucasvsr/musicstreaming-descorp-unid2,lucasvsr/ProjetoWeb3,lucasvsr/TrackFind,lucasvsr/trackfind-newversion,lucasvsr/WallpaperByLastFM,lucasvsr/WallpaperMusic"
,"edsonjunior/Lukaut,edsonjunior/pdm,edsonjunior/PDM2018.1,edsonjunior/tests"
,"mouradap/gitrepo,mouradap/hello-world,mouradap/projeto2"
"chainao/Hotel,rodrigolinsbr/bike-sharing-demand","guardiaum/AM-Project-I,guardiaum/arxiv-crawler,guardiaum/baseline,guardiaum/extraction-analytics,guardiaum/IR-Project-I,guardiaum/IR_final_project,guardiaum/MoveAndShot,guardiaum/MoveAndShotWS,guardiaum/PSO-Project,guardiaum/py-kylin,guardiaum/SyStay"
,"allan-mlpe/angular-devmedia,allan-mlpe/calculadora-estagio,allan-mlpe/django,allan-mlpe/experiment-planning-tool,allan-mlpe/galeria-da-torcida,allan-mlpe/hacker-rank,allan-mlpe/java-design-patterns,allan-mlpe/jenkins-slave,allan-mlpe/jersey-devmedia-v1,allan-mlpe/jersey-devmedia-v2,allan-mlpe/jfst-python,allan-mlpe/jFSTMerge,allan-mlpe/lt-angular4,allan-mlpe/projeto-estatistica,allan-mlpe/rb-node,allan-mlpe/s3mpython-results,allan-mlpe/softblue-java-avancado"
,"luau-project/LuaInstaller,luau-project/winapi_kernel32,luau-project/winapi_user32"
,"joaoMonte/paperRecommendationSystem,joaoMonte/pizzaSystem"
,carlosherrerazag6/hello-world
,DanielBeckman/Daniel-Beckman-Moura-Lopes
,
ehammo/HideTheFaceAndroid,
,"tiaoalvino/data-structures,tiaoalvino/gwt-showcase"
,nickdag/poems
,"fjedi9/curso-desenvolvimento-web-com-jsf2-master,fjedi9/Html_css_java,fjedi9/jobs"
,
,"h33lisola/exerciciosProgramacao,h33lisola/JavaExercises"
,"ThyagoMC/places,ThyagoMC/scriptcase-libs,ThyagoMC/webpack-angularjs"
"comfortbus/BusModule,comfortbus/interfaceuser","dssv/AgoraVai,dssv/ComfortBus,dssv/confortame,dssv/HB100_test,dssv/knot-hal-source,dssv/knot-protocol-source,dssv/knot-service-source,dssv/knot-thing-source,dssv/RiverSense-master,dssv/RiverSenseSite"
,
,
verdanatech/igz,verdanatech/igz
serienm0rder/ptjadiel,anniewalker/Ana-Clara
,"pedrogac22/android,pedrogac22/python_code"
"LabEdmarVictor/avaliador,LabEdmarVictor/Contrato,LabEdmarVictor/Inventario,LabEdmarVictor/Validador-DB","LabEdmarVictor/avaliador,LabEdmarVictor/Contrato,LabEdmarVictor/Inventario,LabEdmarVictor/Validador-DB"
,
Nigiri/nigiri.github.io,Nigiri/nigiri.github.io
"observatoriosar/AedesSaneamento,observatoriosar/sanear","observatoriosar/AedesSaneamento,observatoriosar/sanear"
,
,diegopessoa86/hello-world
,"genomika/biopandas,genomika/biotools,genomika/demo-back-vue,genomika/dojo-go,genomika/gensoft,genomika/jobs,genomika/ml-challenge,genomika/postgres-multi-tenancy-manager,genomika/publications,genomika/summercourse"
"marcosOHumilde/programacaoIV,pedroigoor/Eduk","gutembergJunior/php,gutembergJunior/programacaoIV"
AVISE-TW/AVISE-IOS-APP,AVISE-TW/AVISE-IOS-APP
,tecnodados/TecnoDados
,
,
,"Rodris/datasciencecoursera,Rodris/frontend-nanodegree-arcade-game,Rodris/frontend-nanodegree-mobile-portfolio,Rodris/frontend-nanodegree-resume,Rodris/neighborhood,Rodris/news-aggregator,Rodris/optimization-project,Rodris/portfolio,Rodris/qrcode,Rodris/TypedRpc,Rodris/TypedRpc.Stub,Rodris/udportfolio,Rodris/web-workers-demo"
,
,"duit/website-duit,duit/website-retriever"
fabricasoftware/Documentos,"andrebarros/angular,andrebarros/Documentos,andrebarros/nfephp,andrebarros/Teste"
,
"miguelarauj1o/skimscheme,WeiyiLi/project_cs369","KaoozFreitas/CS369-FirstApp,KaoozFreitas/demoApp,KaoozFreitas/jogos2d,KaoozFreitas/KaoozFreitas.github.io,KaoozFreitas/projetobd,KaoozFreitas/sample_app"
sudorafa/salao_,
,
,
,"Idealizza/arduino,Idealizza/TDD"
"abnerjosefelixbarbosa/Farmacia,Airton-Santiago/Project-Beer-Factory-Prog-III,lucioMarcosBrasileiro/SOSAdvogados,pedrocf1/LojaFfreire,rafaelroballo2/pigeon,rkulesza/pigeon,weverson17/HotelProjet","leonardoaraujo85/JavaWeb,leonardoaraujo85/pigeon"
,
,"chrisguerra/autoamazontest,chrisguerra/django-allejo,chrisguerra/williamhill"
,jorgesouza/test
MiniMarvin/MIPS_Processor,"Heyzeh/climathon2017-OctoGatos,Heyzeh/cockroach,Heyzeh/College-Projects-CIn,Heyzeh/d3,Heyzeh/javascript,Heyzeh/jccb.github.io,Heyzeh/mysql"
,fernandohenriqueguimaraes/GerenciadorConsultasMedicas
,"teles-tarcisio/hello-world,teles-tarcisio/tg-opencv"
,"hmullermail/AccessPoint,hmullermail/blink_python,hmullermail/firstone,hmullermail/mcp3002,hmullermail/Portfolio,hmullermail/RPi_WebApp,hmullermail/SPItest,hmullermail/SunLight"
,"luciosribeiro/fingerprintjs2,luciosribeiro/Font-Awesome,luciosribeiro/manguezal.github.com,luciosribeiro/SignalR.Lite,luciosribeiro/simplemodal,luciosribeiro/vue-carousel-3d"
,"pdacruz1/abalone,pdacruz1/ExemplesMoodleXML,pdacruz1/facebook-php-sdk,pdacruz1/FusionTable-Map-Template,pdacruz1/gephi,pdacruz1/html5-geolocation,pdacruz1/kettle,pdacruz1/moodle-theme_bootstrap_renderers,pdacruz1/prettytable,pdacruz1/reveal.js-plugins,pdacruz1/Testgit"
,
,lucasfcavalcanti/cronjob-canais
,"mv-informatica/bamboo-plan-dsl-plugin,mv-informatica/components-html5,mv-informatica/doc-mvcomponents,mv-informatica/docker-atlassian-bamboo,mv-informatica/docker-base-ci,mv-informatica/docker-nexus3,mv-informatica/docker-node-jspm-typings,mv-informatica/generator-jhipster,mv-informatica/generator-mv,mv-informatica/git-cvsimport,mv-informatica/gitlab-dashboard,mv-informatica/lunch-voting-app,mv-informatica/standupbot-open-source"
,
,"pontesupe/calculo_mercado,pontesupe/informatica29ChristmasGift,pontesupe/spacewar"
"Enegrecer/enegrecer-web,WickedPeanuts/Modula-2-Compiler","mairaaraujo/biblioteca-mairaaraujo,mairaaraujo/IntroductoryAssignments,mairaaraujo/pandas_exercises,mairaaraujo/reduxstagram,mairaaraujo/TWU-biblioteca-mairaaraujo"
,implemente/AgendaDelphi
Humbertobz26/Cobrinha.io,
CIRGUPE/cheatsheets,CIRGUPE/cheatsheets
,
uxpe/uxpe.github.io,uxpe/uxpe.github.io
,
,carmopedroza/carmopedroza
JoaoPauloLins/FutebolBotao,"jpos2/IF992,jpos2/LearningLanguages,jpos2/Scripts"
,RafaelJardim/PyOpenAAA
,AccenturePSanches/TSAlertView
,
,Manoeloli/spacewar
,maribandeira/curso-html-css-bem
jbjj/sableccdt,
,khurama/khurama.github.io
,"fredcsilva/chapter3-angular2,fredcsilva/hackathon-MJ-2016,fredcsilva/ionic3Curso"
,"pycursos/pso_tsp,pycursos/simplemooc"
,henriquerebelo/AJML2
,
,"PetSaude/Android,PetSaude/Aplicativo,PetSaude/Portal,PetSaude/WebService"
guplima1986/Site,"ThaisFernanda/CarCollection,ThaisFernanda/Exercicios,ThaisFernanda/JAWE-16.6-T-PROJETO2,ThaisFernanda/LojaAnalise,ThaisFernanda/petshop,ThaisFernanda/TesteEscola,ThaisFernanda/WebCar"
,fracmt/testpebble
,
projeto-we-care/projeto-we-care.github.io,projeto-we-care/projeto-we-care.github.io
,
,rogeriolimabr/personalrp
jbjj/sableccdt,
,khurama/khurama.github.io
,
,
,"EliardoClaudio/JDI,EliardoClaudio/Projeto-SIMF,EliardoClaudio/Testes"
,
,"biancadoming0s/biancadomingos,biancadoming0s/desafio"
,29manuel/projeto-curso
,raisamagalhaes/Projeto_curso
BAMoreira/besteira,Leandrogalindo/spacewar
,
,
,
,"romuloslv/css,romuloslv/logs-send-s3,romuloslv/src"
,"CycleView/CycleBase,CycleView/CycleView,CycleView/cycleview.github.io"
,
,"ftrajano/flash-gerador-provas,ftrajano/gerador-provas,ftrajano/hello-world"
jrafaelm/SGA,"Rickardu/Facol-Estrutura-de-Dados,Rickardu/Facol-OPTV,Rickardu/Facol-POO,Rickardu/S-GEOn,Rickardu/teste"
,
,"maurofeitosa/devspace,maurofeitosa/dropzone,maurofeitosa/sitepessoal"
,erasmojr/hidden-menus-layout
,"cs-alessandra-pereira/DogsApp,cs-alessandra-pereira/SwiftLint,cs-alessandra-pereira/team4-bootcamp"
,tiagomvf/first-contributions
,"gopaladasa/GCAL,gopaladasa/GPlan"
,mendoncajessica/testeJessica
,"queirozsantos/EstoqueLoja,queirozsantos/MeuRepositorioEstoqueLoja,queirozsantos/projetopgm2018,queirozsantos/Teste"
"if1015-datascience-ufpe/2017-2-projeto-ajgan-rlsma-rcrs3,if1015-datascience-ufpe/2017-2-projeto-bjcc-dls4-rrms,if1015-datascience-ufpe/2017-2-projeto-crp3-bvcl-plal,if1015-datascience-ufpe/2017-2-projeto-hbcj-lfp2,if1015-datascience-ufpe/2017-2-projeto-lbs4-eebls-ktcn,if1015-datascience-ufpe/2017-2-projeto-metascience,if1015-datascience-ufpe/2017-2-projeto-nrlp-rrb,if1015-datascience-ufpe/2017-2-projeto-projeto-ghds-ams9,if1015-datascience-ufpe/2017-2-projeto-wildcats,if1015-datascience-ufpe/2017-2-projeto-wildwolves,if1015-datascience-ufpe/2017.1,if1015-datascience-ufpe/2017.2,if1015-datascience-ufpe/2017_2-ex0,if1015-datascience-ufpe/2018-1-ex2,if1015-datascience-ufpe/2018-1-ex2-acportela,if1015-datascience-ufpe/2018-1-ex2-AlbertoSS1,if1015-datascience-ufpe/2018-1-ex2-amnv,if1015-datascience-ufpe/2018-1-ex2-Arthurlpgc,if1015-datascience-ufpe/2018-1-ex2-bcgs,if1015-datascience-ufpe/2018-1-ex2-Drez3a,if1015-datascience-ufpe/2018-1-ex2-eduardoluiz7,if1015-datascience-ufpe/2018-1-ex2-fbormann,if1015-datascience-ufpe/2018-1-ex2-filipecmedeiros,if1015-datascience-ufpe/2018-1-ex2-karlafalcao,if1015-datascience-ufpe/2018-1-ex2-las33,if1015-datascience-ufpe/2018-1-ex2-lfvg,if1015-datascience-ufpe/2018-1-ex2-miltongneto,if1015-datascience-ufpe/2018-1-ex2-msb55,if1015-datascience-ufpe/2018-1-ex2-pedro00dk,if1015-datascience-ufpe/2018-1-ex2-pvbm,if1015-datascience-ufpe/2018-1-ex2-rfl3,if1015-datascience-ufpe/2018-1-ex2-Rielson-Leandro,if1015-datascience-ufpe/2018-1-ex2-ThiagoAquino,if1015-datascience-ufpe/2018-1-ex2-ThiagoAugustoSM,if1015-datascience-ufpe/2018-1-ex2-vinicemanuel,if1015-datascience-ufpe/2018-1-ex2-wba25,if1015-datascience-ufpe/2018.1,if1015-datascience-ufpe/2018_1-ex0,if1015-datascience-ufpe/projeto-2017-1-datascienceteam,if1015-datascience-ufpe/projeto-2017-1-os3dosdados,if1015-datascience-ufpe/projeto-2017-1-projeto-buscape,if1015-datascience-ufpe/projeto-2017-1-teste,if1015-datascience-ufpe/slides,if1015-datascience-ufpe/syllabus,if1015-datascience-ufpe/teste","if1015-datascience-ufpe/2017-2-projeto-ajgan-rlsma-rcrs3,if1015-datascience-ufpe/2017-2-projeto-bjcc-dls4-rrms,if1015-datascience-ufpe/2017-2-projeto-crp3-bvcl-plal,if1015-datascience-ufpe/2017-2-projeto-hbcj-lfp2,if1015-datascience-ufpe/2017-2-projeto-lbs4-eebls-ktcn,if1015-datascience-ufpe/2017-2-projeto-metascience,if1015-datascience-ufpe/2017-2-projeto-nrlp-rrb,if1015-datascience-ufpe/2017-2-projeto-projeto-ghds-ams9,if1015-datascience-ufpe/2017-2-projeto-wildcats,if1015-datascience-ufpe/2017-2-projeto-wildwolves,if1015-datascience-ufpe/2017.1,if1015-datascience-ufpe/2017.2,if1015-datascience-ufpe/2017_2-ex0,if1015-datascience-ufpe/2018-1-ex2,if1015-datascience-ufpe/2018-1-ex2-acportela,if1015-datascience-ufpe/2018-1-ex2-AlbertoSS1,if1015-datascience-ufpe/2018-1-ex2-amnv,if1015-datascience-ufpe/2018-1-ex2-Arthurlpgc,if1015-datascience-ufpe/2018-1-ex2-bcgs,if1015-datascience-ufpe/2018-1-ex2-Drez3a,if1015-datascience-ufpe/2018-1-ex2-eduardoluiz7,if1015-datascience-ufpe/2018-1-ex2-fbormann,if1015-datascience-ufpe/2018-1-ex2-filipecmedeiros,if1015-datascience-ufpe/2018-1-ex2-karlafalcao,if1015-datascience-ufpe/2018-1-ex2-las33,if1015-datascience-ufpe/2018-1-ex2-lfvg,if1015-datascience-ufpe/2018-1-ex2-miltongneto,if1015-datascience-ufpe/2018-1-ex2-msb55,if1015-datascience-ufpe/2018-1-ex2-pedro00dk,if1015-datascience-ufpe/2018-1-ex2-pvbm,if1015-datascience-ufpe/2018-1-ex2-rfl3,if1015-datascience-ufpe/2018-1-ex2-Rielson-Leandro,if1015-datascience-ufpe/2018-1-ex2-ThiagoAquino,if1015-datascience-ufpe/2018-1-ex2-ThiagoAugustoSM,if1015-datascience-ufpe/2018-1-ex2-vinicemanuel,if1015-datascience-ufpe/2018-1-ex2-wba25,if1015-datascience-ufpe/2018.1,if1015-datascience-ufpe/2018_1-ex0,if1015-datascience-ufpe/projeto-2017-1-datascienceteam,if1015-datascience-ufpe/projeto-2017-1-os3dosdados,if1015-datascience-ufpe/projeto-2017-1-projeto-buscape,if1015-datascience-ufpe/projeto-2017-1-teste,if1015-datascience-ufpe/slides,if1015-datascience-ufpe/syllabus,if1015-datascience-ufpe/teste"
,
,"marcosfbo/ControleEstoqueWeb,marcosfbo/mucambo-java,marcosfbo/Projetos-JSF"
,"guava/accounting.js,guava/app-templates,guava/authlogic,guava/chiliproject,guava/elixir-dojo,guava/gss,guava/guavash,guava/kaminari,guava/library,guava/liquid,guava/matching_exceptions,guava/mongoid-rspec,guava/naught,guava/omniauth-harvest,guava/regradetr.es,guava/reveal,guava/ruby-style-guide,guava/standards,guava/tropicalconf.com,guava/typhoeus"
,
,"intelivix/ab2l-site,intelivix/anaconda-docker-images,intelivix/anafora,intelivix/bolao,intelivix/br-atlas,intelivix/ci,intelivix/cookiecutter,intelivix/cookiecutter-djangopackage,intelivix/cookiecutter-flask,intelivix/cookiecutter-pypackage,intelivix/cookiecutter-scrapy-venom,intelivix/data-science-python-examples,intelivix/django-activity-stream,intelivix/django-rater,intelivix/django-tutorial,intelivix/docker.xvfb,intelivix/easy-selenium,intelivix/elk_scrapyd,intelivix/etl-example,intelivix/gitflow_study,intelivix/incubator-airflow,intelivix/intelivix-crawl,intelivix/intelivix-design-guideline,intelivix/intelivix-scraping-utils,intelivix/jsonschema,intelivix/kafka-paperplane,intelivix/learnxinyminutes-docs,intelivix/scrapy-database-mixins,intelivix/scrapy-venom,intelivix/scrapyd-mongodb,intelivix/scrapyd-webshooter-launcher,intelivix/teste_pratico_datascience,intelivix/teste_pratico_estatistico,intelivix/teste_pratico_scraping,intelivix/teste_pratico_web"
,"arma29/Renegades.org,arma29/si-codes"
,"viniciussantanav/intelivix-design-guideline,viniciussantanav/viniciussantanav.github.io"
,
,"phsg/angular2-curso-basico,phsg/ListasDeCompras,phsg/QualComprar"
,
,whyllyan/tcc2016
,LivreDigital/docs
,arthurmagno/teste
"tisstech-brasil/scaffold,tisstech-brasil/site","tisstech-brasil/scaffold,tisstech-brasil/site"
GPRT/iot-store,GPRT/iot-store
,"elainexavier/Elaine,elainexavier/PythonFundamentos,elainexavier/QlikSense,elainexavier/Teste"
,
,
vtcb/3d-maze-gen,quelcmpllo/hello-world
Saber-Tecnologias/acervo-app,Saber-Tecnologias/acervo-app
,
,
,"jhlr/brainfuck,jhlr/C-methods,jhlr/CClosure,jhlr/DataStructures,jhlr/go,jhlr/indelMINER,jhlr/j-nasm,jhlr/life,jhlr/nativetube,jhlr/nlp,jhlr/Server,jhlr/util"
,
,Mijaru/JQueryAnalyzer
,HugoSoares01/manguezal.github.com
,"ImCahu/2048-Python-ASCII,ImCahu/TimeSeriesForecasting"
,"snowshoe/snowshoe,snowshoe/www"
,liberalphg/android_apps
,ltertok/cloud9ide
,"aricardoreis/android,aricardoreis/csharp_projects,aricardoreis/Fifa-Ultimate-Team-2013-Toolkit,aricardoreis/FIFA-Ultimate-Team-2014-Toolkit,aricardoreis/gitignore,aricardoreis/java_projects,aricardoreis/test"
,
,
,"jvsolucoes/gehos,jvsolucoes/peregrinus"
,
,"brunors/manguebit-day,brunors/manguezal.github.com,brunors/SoundCloudWaveformSwift,brunors/theflow"
,
,"rlapenda/AndroidChatCommunicationApp,rlapenda/angular.js,rlapenda/ejabberd,rlapenda/IMChat-Android-App,rlapenda/jquery.fileDownload,rlapenda/otp,rlapenda/SignalR.Progress,rlapenda/sobot-rimulator,rlapenda/startbootstrap-sb-admin-2,rlapenda/titaniumCommunicationApp,rlapenda/UserCloudAuthenticationAndroid,rlapenda/UserCloudAuthenticationIOS,rlapenda/x-cust-file-upload"
,"juliorangel/afterload.js,juliorangel/canvas2svg,juliorangel/curso-react-redux-exercicios,juliorangel/d3js_mastering,juliorangel/graphs,juliorangel/jrweb,juliorangel/songster,juliorangel/tester"
,"davilmaster/github-course,davilmaster/php-pernambuco.github.io,davilmaster/progit,davilmaster/valida-cpf-cnpj"
,"crystalsantos/bootswatch,crystalsantos/crystalcase"
,"hellton2/gwt-site,hellton2/java-creed-examples,hellton2/jquery.fileDownload"
ricardoebbers/IF975,Thales28/p1castor-agenda
,"Epitrack/caravel,Epitrack/clinio-alerts,Epitrack/clinio-vbr,Epitrack/EpiBoT,Epitrack/epicrowd,Epitrack/epihack,Epitrack/flask-skeleton,Epitrack/flunearyou-v2,Epitrack/gds-android,Epitrack/gds-ios,Epitrack/gis-dataset-brasil,Epitrack/guardioes-da-saude,Epitrack/guardioes-da-saude-landing-page,Epitrack/Guardioes-Mobile,Epitrack/healthapp,Epitrack/python-machine-learning-book,Epitrack/react-router-redux,Epitrack/SaudeNaCopa"
,"amamaral/amamaral.github.io,amamaral/git_test,amamaral/lab2py,amamaral/launchpad-freq-analyzer,amamaral/snowWhiteNoise"
,
,
,"thienry/app-angular-learningEnglish,thienry/blog-intranet,thienry/bloghjf,thienry/Dashboard-System,thienry/ecommerce,thienry/intranet-2.0,thienry/Intranet-HJF,thienry/pesquisaHJF,thienry/PHP7-DAO,thienry/Projetos_Aprendizagem"
,
"daidson/MonitoriaInformatica2017s2,jtdsjossany/logica2017s2",Joaocara/spacewar
"dmitry-cherkas/test-repo,schabou/localization-demo",
"Carranca22/Biblioteca,Carranca22/carranca22.github.io,Carranca22/celsius,Carranca22/Combate,Carranca22/Encoder,Carranca22/Hydra,Carranca22/PCB,Carranca22/poll-e-2,Carranca22/Seguidor,Carranca22/Seguidor2018,Carranca22/selecao,Carranca22/Sumo","Carranca22/Biblioteca,Carranca22/carranca22.github.io,Carranca22/celsius,Carranca22/Combate,Carranca22/Encoder,Carranca22/Hydra,Carranca22/PCB,Carranca22/poll-e-2,Carranca22/Seguidor,Carranca22/Seguidor2018,Carranca22/selecao,Carranca22/Sumo"
,"OtavianoM/Java-EstruturaDados,OtavianoM/JavaScript-basico,OtavianoM/Projeto-conectservice,OtavianoM/Projeto-Topo"
