User,In_Degree,Out_Degree,Degree,Modularity_Class,Page_Rank,Eccentricity_Centrality,Closness_Centrality,Betweeness_Centrality,EigenVector_Centrality
manoelcyreno,3,5,8,5,0.0020350000000000004,11,0.201027,612.208844,0.073949
carvalhodj,3,3,6,24,0.002221,1,1.0,12.0,0.005936
adrielcafe,3,1,4,18,0.0015550000000000002,11,0.161652,1096.0,0.009296
lvrma,3,2,5,13,0.001148,10,0.201916,4334.850631,0.011756
danilosoares,3,2,5,0,0.000851,10,0.208762,315.314725,0.06138200000000001
antoniosj,3,3,6,8,0.00222,1,1.0,1046.950292,0.006927
paulobsa,3,1,4,7,0.00265,2,0.666667,39.20404,0.007442
luhanlacerda,3,3,6,11,0.001484,9,0.19949,1050.0,0.012759
lapl,3,3,6,6,0.000828,10,0.203945,553.895238,0.016447
ktquez,3,4,7,11,0.001655,11,0.216944,1141.337923,0.01092
mirjahal,3,7,10,12,0.002049,10,0.182302,3217.724795,0.005425
bernardomelo,3,0,3,13,0.000625,0,0.0,0.0,0.005093
thypad,2,1,3,0,0.000543,10,0.195784,0.0,0.037609
andreneto,2,1,3,13,0.000458,11,0.16596,6040.9467,0.007197
tonnyvx,2,2,4,19,0.001264,2,0.75,0.0,0.003568
pedroboudoux,2,3,5,4,0.001024,2,0.8,16.18463,0.004213000000000001
luanbrito7,2,3,5,13,0.000669,13,0.128378,0.0,0.003568
julihermes,2,5,7,4,0.000672,10,0.202813,1947.865811,0.013655
marcosisocram,2,3,5,4,0.001024,2,0.8,507.0,0.004213000000000001
joseronierison,2,1,3,14,0.001523,10,0.182423,163.278274,0.011319
guilhermebrandao,2,2,4,19,0.001264,2,0.75,0.0,0.003568
leoreinaux,2,0,2,6,0.000699,0,0.0,0.0,0.0035020000000000003
Bonifacio2,2,1,3,9,0.000746,11,0.18206,0.0,0.014002
rafaelmotaalves,2,3,5,13,0.000669,13,0.128378,0.0,0.003568
guinetik,2,1,3,21,0.000544,1,1.0,505.0,0.011555
dgmneto,2,1,3,6,0.000505,10,0.199418,0.0,0.007949
rhnasc,2,0,2,0,0.000517,0,0.0,0.0,0.019827
rlom,2,1,3,13,0.001034,13,0.136285,0.0,0.004288
zimmerle,2,1,3,0,0.000535,11,0.189161,49.436147,0.036157
WilbertoFilho,2,0,2,14,0.000662,0,0.0,0.0,0.004322
caiocaladoo,2,0,2,13,0.000752,0,0.0,0.0,0.003181
oliveriojnn,2,1,3,11,0.0008990000000000002,12,0.178327,235.479654,0.029552
ThomazFB,2,2,4,10,0.001312,10,0.193162,272.077778,0.008097
alnp,2,3,5,0,0.00043,10,0.181879,0.0,0.012602
